member_id,timestamp,track_name,artist,album,ms_played,skipped,shuffle,offline,private_session,start_reason,end_reason
2,2025-11-01T17:44:11Z,Heat Waves,Glass Animals,Dreamland,64378,True,True,False,False,clickrow,fwdbtn
2,2025-11-01T20:44:29Z,Kesariya,Arijit Singh,Brahmastra,154768,False,True,False,True,appload,trackdone
2,2025-11-01T21:35:26Z,Apna Bana Le,Arijit Singh,Bhediya,191254,False,False,False,True,appload,trackdone
2,2025-11-01T22:58:43Z,Brown Munde,AP Dhillon,Brown Munde,150571,False,True,False,False,fwdbtn,endplay
2,2025-11-01T23:20:26Z,Apna Bana Le,Arijit Singh,Bhediya,264034,False,True,False,False,clickrow,trackdone
2,2025-11-02T00:24:25Z,Sunflower,Post Malone,Hollywoods Bleeding,72018,True,True,False,False,trackdone,fwdbtn
2,2025-11-02T07:40:29Z,Ranjha,B Praak,Shershaah,271488,False,True,False,False,clickrow,trackdone
2,2025-11-02T17:30:48Z,Tum Se Hi,Mohit Chauhan,Jab We Met,49546,True,False,True,False,clickrow,fwdbtn
2,2025-11-02T18:18:32Z,Soulmate,Badshah,Ek Tha Raja,274722,False,True,False,False,trackdone,trackdone
2,2025-11-02T23:18:50Z,Ranjha,B Praak,Shershaah,85460,True,True,False,False,trackdone,fwdbtn
2,2025-11-03T17:09:39Z,Kesariya,Arijit Singh,Brahmastra,197593,False,True,False,False,trackdone,endplay
2,2025-11-03T18:11:15Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,14119,True,True,False,False,trackdone,fwdbtn
2,2025-11-03T21:46:29Z,O Maahi,Arijit Singh,Dunki,88594,True,False,False,True,trackdone,fwdbtn
2,2025-11-04T21:33:27Z,Tum Se Hi,Mohit Chauhan,Jab We Met,108314,True,False,False,False,fwdbtn,fwdbtn
2,2025-11-04T21:49:58Z,Obsessed,Riar Saab,Obsessed,174892,False,True,False,False,clickrow,trackdone
2,2025-11-04T22:27:15Z,Apna Bana Le,Arijit Singh,Bhediya,189168,False,True,False,False,fwdbtn,endplay
2,2025-11-05T13:06:19Z,Tum Se Hi,Mohit Chauhan,Jab We Met,129105,True,True,False,True,trackdone,fwdbtn
2,2025-11-06T00:17:05Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,140985,False,True,False,False,fwdbtn,trackdone
2,2025-11-06T22:58:46Z,Brown Munde,AP Dhillon,Brown Munde,14018,True,False,False,False,trackdone,fwdbtn
2,2025-11-07T18:00:03Z,Tum Se Hi,Mohit Chauhan,Jab We Met,119837,True,True,True,False,appload,fwdbtn
2,2025-11-07T23:17:41Z,Satranga,Arijit Singh,Animal,210775,False,True,False,False,trackdone,trackdone
2,2025-11-08T20:12:07Z,Brown Munde,AP Dhillon,Brown Munde,205152,False,False,False,False,fwdbtn,trackdone
2,2025-11-08T21:34:49Z,Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho,218789,False,True,False,False,trackdone,trackdone
2,2025-11-08T21:42:41Z,Husn,Anuv Jain,Husn,255440,False,False,False,False,trackdone,trackdone
2,2025-11-10T23:28:51Z,Kesariya,Arijit Singh,Brahmastra,243498,False,False,False,False,clickrow,trackdone
2,2025-11-11T07:59:14Z,Soulmate,Badshah,Ek Tha Raja,232985,False,True,False,False,trackdone,trackdone
2,2025-11-11T13:08:17Z,Maan Meri Jaan,King,Champagne Talk,186749,False,True,False,False,appload,trackdone
2,2025-11-11T18:33:30Z,O Maahi,Arijit Singh,Dunki,87187,True,False,False,False,trackdone,fwdbtn
2,2025-11-11T21:21:44Z,Satranga,Arijit Singh,Animal,272945,False,True,False,False,clickrow,trackdone
2,2025-11-11T21:30:06Z,Tum Se Hi,Mohit Chauhan,Jab We Met,154082,False,False,False,False,trackdone,trackdone
2,2025-11-12T18:16:03Z,Agar Tum Saath Ho,Alka Yagnik,Tamasha,132992,False,False,False,False,trackdone,trackdone
2,2025-11-12T20:27:00Z,Tum Se Hi,Mohit Chauhan,Jab We Met,227086,False,False,False,False,clickrow,trackdone
2,2025-11-13T21:19:51Z,Phir Le Aaya Dil,Arijit Singh,Barfi!,54665,True,False,False,False,trackdone,fwdbtn
2,2025-11-14T13:53:59Z,O Maahi,Arijit Singh,Dunki,138451,False,False,False,False,fwdbtn,trackdone
2,2025-11-14T20:18:26Z,Ranjha,B Praak,Shershaah,189901,False,True,False,False,clickrow,endplay
2,2025-11-14T22:52:01Z,Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho,244756,False,False,False,False,fwdbtn,trackdone
2,2025-11-15T17:37:13Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,189194,False,False,False,False,fwdbtn,trackdone
2,2025-11-16T07:24:56Z,O Maahi,Arijit Singh,Dunki,152643,False,True,False,False,appload,trackdone
2,2025-11-16T18:16:30Z,Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho,163535,False,False,False,False,trackdone,trackdone
2,2025-11-16T20:25:37Z,Brown Munde,AP Dhillon,Brown Munde,162755,False,False,False,False,trackdone,trackdone
2,2025-11-16T22:15:10Z,Perfect,Ed Sheeran,Divide,136327,True,True,False,False,trackdone,fwdbtn
2,2025-11-17T09:32:18Z,Ranjha,B Praak,Shershaah,28098,True,True,False,False,clickrow,fwdbtn
2,2025-11-17T20:13:11Z,Chaleya,Arijit Singh,Jawan,251523,False,False,False,False,trackdone,trackdone
2,2025-11-17T20:25:12Z,Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho,215825,False,False,False,True,fwdbtn,trackdone
2,2025-11-17T21:39:50Z,Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho,147906,False,False,False,False,appload,trackdone
2,2025-11-18T22:28:34Z,Obsessed,Riar Saab,Obsessed,68400,True,False,False,False,trackdone,fwdbtn
2,2025-11-19T08:55:13Z,Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho,178737,False,True,False,False,trackdone,trackdone
2,2025-11-19T23:50:29Z,Kesariya,Arijit Singh,Brahmastra,213322,False,True,False,False,trackdone,trackdone
2,2025-11-20T08:45:45Z,Kesariya,Arijit Singh,Brahmastra,206994,False,False,False,False,trackdone,trackdone
2,2025-11-20T09:23:35Z,Chaleya,Arijit Singh,Jawan,218918,False,False,False,True,fwdbtn,trackdone
2,2025-11-20T12:45:37Z,Agar Tum Saath Ho,Alka Yagnik,Tamasha,102381,True,True,False,False,clickrow,fwdbtn
2,2025-11-21T20:26:46Z,Blinding Lights,The Weeknd,After Hours,89979,True,False,False,False,clickrow,fwdbtn
2,2025-11-21T23:07:11Z,Obsessed,Riar Saab,Obsessed,20353,True,False,False,False,fwdbtn,fwdbtn
2,2025-11-21T23:20:47Z,Apna Bana Le,Arijit Singh,Bhediya,250166,False,False,False,False,trackdone,trackdone
2,2025-11-22T07:04:50Z,Tum Se Hi,Mohit Chauhan,Jab We Met,26202,True,True,False,False,backbtn,fwdbtn
2,2025-11-22T09:13:26Z,Sunflower,Post Malone,Hollywoods Bleeding,19101,True,True,False,False,trackdone,fwdbtn
2,2025-11-23T22:23:35Z,Apna Bana Le,Arijit Singh,Bhediya,99652,True,False,False,False,backbtn,fwdbtn
2,2025-11-23T23:49:49Z,Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho,136331,False,False,False,False,trackdone,trackdone
2,2025-11-25T08:29:22Z,Tum Se Hi,Mohit Chauhan,Jab We Met,49889,True,True,False,False,trackdone,fwdbtn
2,2025-11-25T09:37:13Z,Tum Se Hi,Mohit Chauhan,Jab We Met,28297,True,True,False,False,clickrow,fwdbtn
2,2025-11-25T21:26:24Z,Tum Se Hi,Mohit Chauhan,Jab We Met,234344,False,False,False,False,trackdone,trackdone
2,2025-11-25T23:54:36Z,Ranjha,B Praak,Shershaah,207202,False,False,False,False,trackdone,trackdone
2,2025-11-26T21:12:39Z,As It Was,Harry Styles,Harrys House,206721,False,True,False,False,clickrow,trackdone
