member_id,timestamp,track_name,artist,album,,ms_played,skipped,shuffle,offline,private_session,start_reason,end_reason
1,2025-11-01T22:38:57Z,Sunflower,Post Malone,Hollywoods Bleeding,,139993,TRUE,TRUE,FALSE,FALSE,clickrow,fwdbtn
1,2025-11-02T21:12:00Z,Heeriye,Jasleen Royal,Heeriye,,242873,FALSE,FALSE,FALSE,FALSE,trackdone,trackdone
1,2025-11-04T22:52:35Z,Perfect,Ed Sheeran,Divide,,238610,FALSE,TRUE,FALSE,FALSE,trackdone,trackdone
1,2025-11-05T17:36:14Z,Satranga,Arijit Singh,Animal,,158618,FALSE,FALSE,FALSE,FALSE,trackdone,trackdone
1,2025-11-05T20:23:44Z,Ilahi,Arijit Singh,Yeh Jawaani Hai Deewani,,38617,TRUE,FALSE,TRUE,FALSE,fwdbtn,fwdbtn
1,2025-11-06T21:24:40Z,Phir Le Aaya Dil,Arijit Singh,Barfi!,,67902,TRUE,TRUE,FALSE,FALSE,clickrow,fwdbtn
1,2025-11-06T22:48:16Z,Kesariya,Arijit Singh,Brahmastra,,218349,FALSE,FALSE,FALSE,FALSE,trackdone,trackdone
1,2025-11-07T12:36:25Z,Heeriye,Jasleen Royal,Heeriye,,52816,TRUE,FALSE,FALSE,TRUE,trackdone,fwdbtn
1,2025-11-07T23:23:06Z,Phir Le Aaya Dil,Arijit Singh,Barfi!,,125592,TRUE,FALSE,FALSE,FALSE,trackdone,fwdbtn
1,2025-11-08T01:13:15Z,Ranjha,B Praak,Shershaah,,43460,TRUE,FALSE,FALSE,FALSE,trackdone,fwdbtn
1,2025-11-09T22:47:10Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,150529,FALSE,TRUE,FALSE,FALSE,clickrow,trackdone
1,2025-11-09T22:49:21Z,Blinding Lights,The Weeknd,After Hours,,154097,FALSE,FALSE,FALSE,FALSE,trackdone,trackdone
1,2025-11-10T08:29:54Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,54632,TRUE,FALSE,FALSE,FALSE,fwdbtn,fwdbtn
1,2025-11-10T12:40:55Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,83102,TRUE,FALSE,FALSE,TRUE,clickrow,fwdbtn
1,2025-11-10T17:13:04Z,Kesariya,Arijit Singh,Brahmastra,,135903,FALSE,FALSE,FALSE,FALSE,trackdone,trackdone
1,2025-11-10T20:35:21Z,Heeriye,Jasleen Royal,Heeriye,,179195,FALSE,FALSE,FALSE,FALSE,trackdone,trackdone
1,2025-11-12T18:25:33Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,191995,FALSE,FALSE,FALSE,FALSE,appload,trackdone
1,2025-11-12T18:49:19Z,Heeriye,Jasleen Royal,Heeriye,,252418,FALSE,TRUE,FALSE,FALSE,trackdone,endplay
1,2025-11-13T17:48:15Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,94887,TRUE,TRUE,FALSE,FALSE,clickrow,fwdbtn
1,2025-11-13T22:23:56Z,Ilahi,Arijit Singh,Yeh Jawaani Hai Deewani,,268208,FALSE,TRUE,FALSE,FALSE,fwdbtn,trackdone
1,2025-11-14T20:36:41Z,lovely,Billie Eilish,lovely,,220260,FALSE,FALSE,FALSE,FALSE,fwdbtn,trackdone
1,2025-11-14T23:21:21Z,Softly,Karan Aujla,Making Memories,,212631,FALSE,FALSE,FALSE,FALSE,clickrow,trackdone
1,2025-11-16T08:07:29Z,Apna Bana Le,Arijit Singh,Bhediya,,158459,FALSE,TRUE,FALSE,FALSE,trackdone,trackdone
1,2025-11-16T22:40:56Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,257886,FALSE,TRUE,FALSE,TRUE,trackdone,trackdone
1,2025-11-17T08:34:32Z,Night Changes,One Direction,FOUR,,242300,FALSE,FALSE,FALSE,FALSE,clickrow,trackdone
1,2025-11-17T21:01:55Z,lovely,Billie Eilish,lovely,,169085,FALSE,TRUE,FALSE,FALSE,trackdone,endplay
1,2025-11-17T22:18:38Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,250610,FALSE,FALSE,FALSE,FALSE,trackdone,trackdone
1,2025-11-19T01:16:02Z,Phir Le Aaya Dil,Arijit Singh,Barfi!,,153393,FALSE,FALSE,FALSE,FALSE,clickrow,trackdone
1,2025-11-19T18:50:03Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,266007,FALSE,FALSE,FALSE,FALSE,trackdone,trackdone
1,2025-11-19T22:23:32Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,203852,FALSE,FALSE,FALSE,TRUE,clickrow,endplay
1,2025-11-20T12:55:02Z,Blinding Lights,The Weeknd,After Hours,,51336,TRUE,TRUE,FALSE,FALSE,clickrow,fwdbtn
1,2025-11-20T23:23:42Z,Husn,Anuv Jain,Husn,,213674,FALSE,FALSE,FALSE,FALSE,appload,trackdone
1,2025-11-21T20:44:34Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,,178270,FALSE,TRUE,FALSE,FALSE,trackdone,trackdone
1,2025-11-21T22:52:35Z,Softly,Karan Aujla,Making Memories,,197946,FALSE,TRUE,FALSE,FALSE,clickrow,trackdone
