member_id,timestamp,track_name,artist,album,ms_played,skipped,shuffle,offline,private_session,start_reason,end_reason
3,2025-11-01T08:47:03Z,Blinding Lights,The Weeknd,After Hours,41065,True,False,False,False,trackdone,fwdbtn
3,2025-11-01T21:35:31Z,O Maahi,Arijit Singh,Dunki,25819,True,True,True,False,trackdone,fwdbtn
3,2025-11-01T22:43:58Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,220587,False,True,False,False,fwdbtn,trackdone
3,2025-11-02T23:05:33Z,Raabta,Arijit Singh,Agent Vinod,228680,False,True,False,False,trackdone,trackdone
3,2025-11-04T21:31:06Z,Husn,Anuv Jain,Husn,141344,True,True,False,False,trackdone,fwdbtn
3,2025-11-05T12:37:40Z,Ilahi,Arijit Singh,Yeh Jawaani Hai Deewani,222887,False,False,False,False,trackdone,trackdone
3,2025-11-05T21:41:29Z,Chaleya,Arijit Singh,Jawan,215385,False,True,False,False,trackdone,trackdone
3,2025-11-06T17:59:07Z,Chaleya,Arijit Singh,Jawan,238964,False,False,False,True,trackdone,trackdone
3,2025-11-06T22:41:58Z,Perfect,Ed Sheeran,Divide,16600,True,True,False,False,appload,fwdbtn
3,2025-11-08T08:11:26Z,Husn,Anuv Jain,Husn,167872,False,True,False,False,fwdbtn,trackdone
3,2025-11-08T20:25:49Z,Jo Tum Mere Ho,Anuv Jain,Jo Tum Mere Ho,149972,False,False,False,False,fwdbtn,trackdone
3,2025-11-08T23:02:49Z,Ilahi,Arijit Singh,Yeh Jawaani Hai Deewani,122755,True,True,False,False,trackdone,fwdbtn
3,2025-11-09T00:04:28Z,Kesariya,Arijit Singh,Brahmastra,214077,False,False,False,False,fwdbtn,endplay
3,2025-11-09T20:46:47Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,157116,False,True,False,False,trackdone,trackdone
3,2025-11-10T13:28:33Z,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,64955,True,True,False,False,trackdone,fwdbtn
3,2025-11-10T22:09:53Z,Chaleya,Arijit Singh,Jawan,185215,False,True,False,False,appload,trackdone
3,2025-11-10T23:42:15Z,Chaleya,Arijit Singh,Jawan,162990,False,True,True,False,clickrow,trackdone
3,2025-11-11T18:55:24Z,Kesariya,Arijit Singh,Brahmastra,32881,True,False,False,False,clickrow,fwdbtn
3,2025-11-11T21:52:24Z,Satranga,Arijit Singh,Animal,227469,False,False,False,False,clickrow,trackdone
